customer_id,segment,geography,income,credit_score,loan_type,loan_amount,tenure,acquisition_channel,days_past_due,default_flag
1,Prime,Rural,121524,556,Personal Loan,139544,24,App,19,0
2,Near Prime,Rural,145741,558,BNPL,297918,24,Partner,16,0
3,Near Prime,Semi-Urban,17472,699,SME Working Capital,446480,12,Partner,5,0
4,Near Prime,Rural,45343,744,Personal Loan,497187,24,Direct,4,0
5,Subprime,Rural,182654,847,Personal Loan,374422,48,Partner,5,0
6,Near Prime,Urban,136464,684,BNPL,497804,24,App,4,0
7,Near Prime,Semi-Urban,88560,566,Personal Loan,103993,6,Partner,18,0
8,Prime,Urban,73867,620,SME Working Capital,200274,36,Partner,13,0
9,Prime,Semi-Urban,74609,671,SME Working Capital,352130,48,Partner,9,0
10,Near Prime,Urban,174337,517,Personal Loan,537566,12,Partner,23,1
11,Near Prime,Semi-Urban,17958,693,BNPL,527472,48,App,6,0
12,Subprime,Semi-Urban,182967,605,Personal Loan,128092,36,App,19,0
13,Prime,Rural,97756,842,SME Working Capital,405610,24,App,11,0
14,Prime,Semi-Urban,59111,795,Personal Loan,244454,36,Direct,6,0
15,Prime,Rural,151146,571,BNPL,225413,6,Direct,15,0
16,Subprime,Semi-Urban,188978,744,BNPL,390317,12,Direct,5,0
17,Prime,Semi-Urban,25558,562,BNPL,136116,36,Direct,18,0
18,Near Prime,Semi-Urban,17591,725,Personal Loan,288161,6,App,1,0
19,Subprime,Rural,166484,508,SME Working Capital,489604,12,Partner,21,1
20,Prime,Urban,119254,597,Personal Loan,526997,6,Direct,19,0
21,Near Prime,Urban,80547,679,Personal Loan,527363,48,App,7,0
22,Subprime,Semi-Urban,57566,508,Personal Loan,7083,6,App,22,1
23,Prime,Rural,81783,838,Personal Loan,226757,24,Direct,4,0
24,Near Prime,Semi-Urban,100828,703,SME Working Capital,191970,12,Partner,2,0
25,Subprime,Urban,52114,831,Personal Loan,470573,36,Direct,7,0
26,Prime,Semi-Urban,116553,813,Personal Loan,652020,12,App,5,0
27,Near Prime,Semi-Urban,20243,843,BNPL,685664,48,Partner,5,0
28,Near Prime,Urban,105507,823,SME Working Capital,231627,12,Direct,5,0
29,Near Prime,Urban,182457,628,BNPL,293431,24,Partner,12,0
30,Near Prime,Rural,134570,605,BNPL,429546,24,Partner,15,0
31,Prime,Urban,15477,752,Personal Loan,637958,24,App,3,0
32,Near Prime,Rural,52984,578,Personal Loan,544231,6,Partner,20,0
33,Prime,Rural,55088,824,BNPL,89513,36,App,2,0
34,Near Prime,Urban,139921,776,Personal Loan,530154,6,App,7,0
35,Prime,Semi-Urban,116745,587,BNPL,253267,24,Direct,17,0
36,Subprime,Rural,93763,828,SME Working Capital,592624,24,App,4,0
37,Near Prime,Urban,169686,787,Personal Loan,625146,48,Direct,5,0
38,Prime,Semi-Urban,180012,808,BNPL,411458,24,App,7,0
39,Near Prime,Urban,195095,629,Personal Loan,689121,6,Direct,10,0
40,Prime,Rural,164406,573,SME Working Capital,465358,48,Direct,16,0
41,Near Prime,Rural,122107,600,Personal Loan,247882,24,Partner,13,0
42,Prime,Urban,57922,575,Personal Loan,434434,36,App,16,0
43,Near Prime,Semi-Urban,100756,836,BNPL,578795,6,App,3,0
44,Prime,Rural,37589,826,BNPL,67914,6,Direct,8,0
45,Near Prime,Rural,82226,615,BNPL,624441,6,Direct,12,0
46,Near Prime,Rural,107345,553,SME Working Capital,286874,6,Partner,21,1
47,Near Prime,Rural,124832,629,SME Working Capital,314138,6,Partner,10,0
48,Subprime,Rural,77075,731,Personal Loan,352439,48,Direct,3,0
49,Prime,Semi-Urban,29601,549,SME Working Capital,11334,12,Direct,17,0
50,Near Prime,Urban,19124,569,Personal Loan,562105,36,App,16,0
51,Near Prime,Semi-Urban,127717,840,SME Working Capital,362042,48,Direct,2,0
52,Near Prime,Semi-Urban,68768,780,SME Working Capital,502498,48,App,2,0
53,Near Prime,Semi-Urban,49653,820,Personal Loan,676045,36,Partner,7,0
54,Near Prime,Semi-Urban,93049,644,Personal Loan,585589,12,Partner,6,0
55,Near Prime,Semi-Urban,55910,708,BNPL,650702,6,App,3,0
56,Prime,Semi-Urban,147861,682,Personal Loan,6844,12,Direct,4,0
57,Prime,Rural,69359,616,BNPL,325612,36,App,12,0
58,Near Prime,Rural,158369,843,BNPL,36506,48,Partner,5,0
59,Near Prime,Rural,41891,751,SME Working Capital,462457,48,Direct,6,0
60,Near Prime,Semi-Urban,132911,781,Personal Loan,668669,36,Partner,0,0
61,Subprime,Urban,123711,515,Personal Loan,673225,36,Partner,21,1
62,Near Prime,Urban,114810,845,SME Working Capital,134821,12,Partner,5,0
63,Prime,Semi-Urban,44350,786,BNPL,425554,36,Partner,4,0
